,Rain_Events,Subcatchment,Imperviousness,width,Slope,NSE_L1,NSE_L2,PFE_L1,PFE_L2
0,1996-05-04,101,77,408,3,NaN,NaN,NaN,NaN
1,1996-05-04,102,64,56,2,NaN,NaN,NaN,NaN
2,1996-05-04,103,28,128,4,NaN,NaN,NaN,NaN
3,1996-05-04,104,24,152,5,NaN,NaN,NaN,NaN
4,1996-05-04,105,21,211,8,NaN,NaN,NaN,NaN
5,1996-05-04,106,32,122,4,NaN,NaN,NaN,NaN
6,1996-05-04,107,36,53,3,NaN,NaN,NaN,NaN
7,1996-05-04,108,5,202,4,NaN,NaN,NaN,NaN
8,1996-05-04,109,40,226,5,NaN,NaN,NaN,NaN
9,1996-05-04,110,25,219,5,NaN,NaN,NaN,NaN
10,1996-05-04,111,7,68,2,NaN,NaN,NaN,NaN
11,1996-05-04,112,11,290,3,NaN,NaN,NaN,NaN
12,1996-05-04,113,70,93,5,NaN,NaN,NaN,NaN
13,1996-05-04,114,21,54,0,NaN,NaN,NaN,NaN
14,1996-05-04,115,48,259,1,NaN,NaN,NaN,NaN
15,1996-05-04,116,51,91,10,NaN,NaN,NaN,NaN
16,1996-05-04,117,90,21,9,NaN,NaN,NaN,NaN
17,1996-05-04,118,88,31,1,NaN,NaN,NaN,NaN
18,1996-05-04,119,17,9,1,NaN,NaN,NaN,NaN
19,1996-05-04,Name_imper,Perc_imper,Width_imper,Perc_slope_imper,0.88638141656418,0.9643246501985459,0.06078811517958104,0.14128947301746006
20,1996-06-03,101,86,280,4,NaN,NaN,NaN,NaN
21,1996-06-03,102,22,151,2,NaN,NaN,NaN,NaN
22,1996-06-03,103,46,156,5,NaN,NaN,NaN,NaN
23,1996-06-03,104,35,178,5,NaN,NaN,NaN,NaN
24,1996-06-03,105,15,193,9,NaN,NaN,NaN,NaN
25,1996-06-03,106,24,216,7,NaN,NaN,NaN,NaN
26,1996-06-03,107,45,86,2,NaN,NaN,NaN,NaN
27,1996-06-03,108,6,176,3,NaN,NaN,NaN,NaN
28,1996-06-03,109,29,281,2,NaN,NaN,NaN,NaN
29,1996-06-03,110,24,191,3,NaN,NaN,NaN,NaN
30,1996-06-03,111,12,54,2,NaN,NaN,NaN,NaN
31,1996-06-03,112,21,336,2,NaN,NaN,NaN,NaN
32,1996-06-03,113,52,158,5,NaN,NaN,NaN,NaN
33,1996-06-03,114,12,30,1,NaN,NaN,NaN,NaN
34,1996-06-03,115,50,376,1,NaN,NaN,NaN,NaN
35,1996-06-03,116,68,133,5,NaN,NaN,NaN,NaN
36,1996-06-03,117,61,22,9,NaN,NaN,NaN,NaN
37,1996-06-03,118,69,28,0,NaN,NaN,NaN,NaN
