Name,Rain Gage,Outlet,Area,%Imperv,Width,%Slope,CurbLen,SnowPack
101,RG,06L44,1.94,58.23539182,80.6893361,0.5,0,
102,RG,06M40,1.22,9.963550278,197.6032284,0.5,0,
103,RG,06M40,2.88,19.41766443,296.4953608,0.5,0,
104,RG,06M63,1.66,9.134969203,139.419916,0.5,0,
105,RG,06R5,1.13,19.82525827,78.68308931,0.5,0,
106,RG,06R22,2.5,17.91883013,131.0534555,0.5,0,
107,RG,06R48,1.8,21.82732689,169.2547932,0.5,0,
108,RG,06M61,1.23,10.58665017,129.1820378,0.5,0,
109,RG,06L100,1.29,22.35630607,85.68964143,0.5,0,
110,RG,06Q7,2.93,22.44521833,183.2929375,0.5,0,
111,RG,06L73,1.37,15.67671943,148.5531522,0.5,0,
112,RG,06Q7,1.62,16.22697342,128.255,0.5,0,
113,RG,06L65,0.93,41.13482432,99.85913978,0.5,0,
114,RG,06L68,0.61,27.23937955,101.5925,0.5,0,
115,RG,06Q136,0.47,99.98307455,20.73074561,0.5,0,
116,RG,06L31,0.18,100.1098578,20.29793103,0.5,0,
117,RG,06M58,0.33,99.99355852,316.5165049,0.5,0,
118,RG,06L73,0.35,100.0002854,336.9403846,0.5,0,
119,RG,06L61,0.54,99.99962918,414.8792308,0.5,0,
